"tema","page","menu","font","warna","label"
"2","1","4","Relawey","#666 #FF6 #9FF #066 #F36 '#066 #FFF #FC6 #CC9966 #544639 #006666","11"
"2","1","4","Oswald","#0a8585 #544639 #006666 #CC9966 #CC9966 #b67533 #000000 #CC9966","11"
"2","4","4","Poppins Roboto","#e93f1a #ffffff #e93f1a #e93f1a #ffffff #ffffff #e93f1a #e8e8e8 #e93f1a #e93f1a #ffffff #e93f1a #e93f1a #ffffff #e93f1a","14"
"2","4","4","FontAwesome"," #e93f1a #ffffff #1c1b2d #ffffff #ffffff #e93f1a #ffffff #e93f1a #e93f1a #fff #e93f1a #000 #1d1d1d","14"
"2","4","5","Poppins","#212741 #fff #ff511a #fff #ff511a #fff #fff #43ba7f #fff #ff511a #ff511a #212741 #212741 #000000 #fff #43ba7f #fff #ff511a #ff511a #fff #fff #000000 #f7f7f7 #eee #fff #ff511a #1e1e1e #f7f7f7 #eee","22"
"2","4","5","FontAwesome","#fff #eee #3B566E #212741 #ff511a #000000 #43ba7f #fff #43ba7f #ff511a #fff #212741 #fff #000000 #ff511a #fff #eee #212741 #212741 #fff #fff #798697 #ff511a #fff #000000 #43ba7f #fff #43ba7f #ffa88c","22"
"3","1","5","Open Sans","#707172 #666 #069 #333 #000000 #ffffff #fff #cdcecf #069 #F93 #369 #98999a #3085a3 #fff #069 #fff #fff #fff #fff #ccc #707172 #cdcecf #fff #999 #cdcecf #000000 #000000","14"
"3","5","5","Righteous Rajdhani","#666666 #1f1f1f #111111 #212121 #222222 #ddd #767676 #ffffff #fff #fff #fff #fff #ffffff #ffffff #2b2278 #ffffff #ffffff #141414 #ffffff #2b2278 #ffffff #1f1f1f #1f1f1f #ffffff #2b2278 #ffffff #000d10 #ffffff #000d10 #1f1f1f #1f1f1f #ffffff #000d10 #ffffff #2b2278 #ffffff #ffffff #ffffff #131313 #ffffff #0d0d0d","23"
"3","5","5","Poppins Poppins Righteous"," #0d0d0d #012628 #085a57 #8781bd #2b2278 #1f1f1f #1f1f1f #ffffff #000d10 #2b2278 #ffffff #6e6e6e #1f1f1f #ffffff #2b2278 #000d10 #ffffff #363636 #393838 #393838 #ffffff #000d10 #ffffff #2b2278 #ffffff #2b2c2c #ffffff #2b2278 #000 #ffffff #ffffff #e27141 #122c2d #ffffff #ffffff #e27141","23"
"3","5","5","Rajdhani Poppins poppins","#666666 #1f1f1f #111111 #212121 #222222 #ddd #767676 #ffffff #f9f9f9 #38c8a8 #114c7d #38c8a8 #fff #fff #000000 #114c7d #38c8a8 #000 #fff #fff #ad2101 #fff #fff #fff #38c8a8 #fff #ad2100 #fff #fff #fff #fff #fff #b23011 #b23011 #fff #ccc #fff #fff #fff #111111 #999 #ffffff #38c8a8 #ffffff #38c8a8 #000000 #000000 #ffffff #111111 #38c8a8 #111111 #ffffff #ffffff #111111 #38c8a8 #ffffff #c8c8c8 #ffffff #111111 #ffffff #ffffff #000000 #000000 #e0e7ed #fff #38c8a8 #111111 #ffffff #38c8a8 #000000 #000000 #38c8a8 #ffffff #ffffff #38c8a8 #38c8a8 #ffffff #38c8a8 #38c8a8 #38c8a8 #ffffff #111111","24"
"3","5","5","FontAwesome FontAwesome Roboto FontAwesome","#38c8a8 #38c8a8 #ffffff #e0e7ed #111111 #38c8a8 #111111 #ffffff #ffffff #38c8a8 #616361 #ffffff #114c7d #111111 #fff #000000 #000000 #000000 #fff #fff #ffffff #111111 #ffffff #000000 #111111 #38c8a8 #114c7d #000000 #000000 #333 #ffffff #ffffff #242424 #fff #38c8a8 #ffffff #38c8a8 #ffffff #ffffff #ffffff #111111 #38c8a8 #38c8a8 #ffffff #38c8a8 #fff #e12d4f #e12d4f #fff #fff #114c7d #fff #110707 #ad2100 #262424 #fff #080404 #ad2100 #fff #3e3c3c #000 #fff #ad2100 #fff #000 #fff #100505 #fff #fff #ad2100 #fff #fff #080404 #ad2100 #8f8f8f #000000 #080404 #060402 #fff #818080 #fff #100b0b #cfcece #000000 #fff #ff0000 #fff #fff #fff #fff #ff0000 #ff0000 #fff #2b2a2a #fff #fff #fff #f00 #fff #ad2100 #fff #ad2100 #fff #ad2100 #fff #ad2100 #fff #ad2100 #fff #fffdfd #000 #110d0c #fff","24"
"3","1","5","sansserif Poppins SFMonoRegular","#b2b2b2 #fff #0e0e0e #0e0e0e #000 #fff #000 #ffffff #000000 #000000 #6c757d #ffffff #000000 #fff #000000 #000 #dee2e6 #dee2e6 #000 #000 #000 #000 #fff #000 #fff #000000 #000000 #fff #000000 #fff #000000 #fff #f7f7f7 #000000 #fff #f7f7f7 #ebebeb #444 #fff #fff #fff #fff #000000 #000000 #000000 #000000 #000000 #ffffff #adb5bd #000 #dee2e6 #dee2e6","27"
"3","1","5","inherit Poppins Poppins SFMonoRegular","#dee2e6 #f8f9fa #6c757d #fff #ffffff #ffffff #fff #1b1b1b #495057 #ffffff #dee2e6 #f8f9fa #6c757d #ff6e42 #fff #fff #fff #1b1b1b #fff #fff #fff #dee2e6 #444 #000 #adb5bd #444 #fff #ff5a29 #ff6e42 #dee2e6 #f2f4f6 #dee2e6 #343a40 #6c757d #6c757d #ff6e42 #ff6e42 #fff #000000 #fff #fff #f5f8fc #444 #ffbca8 #f5f8fc #ffffff #fff #000000 #dee2e6 #444 #ff6e42 #fff #ff6e42 #fff","27"
"3","5","5","Rajdhani Poppins Poppins Raleway Raleway Raleway Raleway","#666666 #1f1f1f #111111 #212121 #222222 #ddd #767676 #ffffff #fff #161825 #fff #fff #fe9901 #161825 #fff #fe9901 #fff #161825 #161825 #fe9901 #fff #fe9901 #fff #161825 #161825 #fff #fff #fc9701 #1b1b1a #161825 #fff #fd9801 #fff #1c1c1c #0a0a0a #1b1b1a #fff #f4a111 #fff #fff #030303 #090a0b #f89501 #fff #fff #fff #fffffff2 #1b1a1a #fff #1b1a1a #252525 #fff #fe9901","28"
"3","5","5","Raleway Raleway Raleway Raleway Open Sans Open San Open San","#fff #141414 #fe9901 #fff #141414 #fff #fff #030303 #fe9901 #fff #fe9901 #fff #fff #1b1b1a #fff #fff #030303 #fff #dadada #161617 #fff #dadada #161617 #1b1b1a #fff #fe9901 #fff #dadada #161825 #fff #fff #151515 #151515 #fff #161617 #252525 #fff #fe9901 #fff #000 #161825 #fff #fff #fff #ff0909 #fff #f4a111 #fff #fff #f4a111 #fff #fff #fff #fff #f4a111 #c97a05 #fff","28"
